edge_count,tab_switchcount,shift_count,alt_count,ctrl_count,meta_count,copy_count,paste_count,resize_count,char_key,backspace_key,blur_count,blur_duration,tab_count,MCQ,red_edge,para_edge,sus_keys,ss_count,meta_key,tab_switch,clip_count,sus_resize,sus_blur,char_sus,risk
0,4,0,0,7,0,3,5,0,0,23,0,11,0,0,0,0,0.14,0,0,0.333333333,0.8,0,0,0,1.273333333
0,0,0,5,0,4,5,0,0,19,18,2,0,0,0,0,0,0.1,0,0.4,0,0.5,0,0,0,1
7,0,0,0,0,0,2,0,0,0,19,5,9,0,0,0.014,0.007,0,0,0,0,0.2,0,0.402492236,0,0.609492236
0,0,6,7,3,4,0,2,0,0,0,4,0,0,0,0,0,0.2,4,0.4,0,0.6,0,0,0,1.2
9,0,0,0,0,0,2,0,8,25,0,4,5,0,0,0.018,0.009,0,0,0,0,0.2,0.271466667,0.2,0,0.680466667
15,4,6,0,0,0,5,0,0,15,0,4,0,0,0,0.03,0.015,0,0,0,0.343333333,0.5,0,0,0,0.858333333
0,1,0,0,0,3,0,0,0,19,26,4,12,0,0,0,0,0,0,0.3,0.083333333,0,0,0.48,0,0.863333333
0,0,0,0,0,0,0,4,10,0,17,5,8,0,0,0,0,0,0,0,0,0.4,0.333333333,0.357770876,0,1.09110421
16,0,5,0,2,0,3,0,0,16,0,3,0,0,0,0.032,0.016,0.04,0,0,0,0.3,0,0,0,0.356
0,2,2,0,0,0,3,0,6,0,20,0,0,0,0,0,0,0,0,0,0.166666667,0.3,0.2,0,0,0.666666667
13,4,0,0,0,0,4,1,0,0,0,1,0,0,0,0.026,0.013,0,0,0,0.342,0.5,0,0,0,0.855
8,0,2,0,0,0,0,5,7,24,0,0,6,0,0,0.016,0.008,0,0,0,0,0.5,0.237066667,0,0,0.745066667
17,0,1,5,0,3,1,0,0,0,21,0,0,0,0,0.034,0.017,0.1,1,0.3,0,0.2,0,0,0,0.617
14,0,0,0,0,5,0,3,17,0,22,0,0,0,0,0.028,0.014,0,0,0.5,0,0.3,0.582533333,0,0,1.396533333
0,0,4,5,7,0,0,3,0,0,16,0,0,0,0,0,0,0.24,0,0,0,0.3,0,0,0,0.54
0,0,6,0,0,3,3,3,12,0,0,0,6,0,0,0,0,0,4,0.3,0,1,0.4,0,0,1.7
0,0,4,0,0,0,1,0,16,25,0,0,6,0,0,0,0,0,0,0,0,0.1,0.533333333,0,0,0.633333333
13,3,0,0,4,0,0,0,14,0,22,1,0,0,0,0.026,0.013,0.08,0,0,0.2565,0,0.4788,0,0,0.8283
13,2,1,7,0,0,0,2,0,0,0,0,9,0,0,0.026,0.013,0.14,0,0,0.171,0.2,0,0,0,0.524
0,0,0,0,4,0,4,1,0,19,0,0,10,0,0,0,0,0.08,0,0,0,0.5,0,0,0,0.58
9,0,7,7,0,0,0,0,0,17,0,0,8,0,0,0.018,0.009,0.14,0,0,0,0,0,0,0,0.149
0,0,0,1,3,0,1,3,0,0,26,0,11,0,0,0,0,0.08,0,0,0,0.4,0,0,0,0.48
0,0,6,0,2,5,0,5,0,0,0,0,11,0,0,0,0,0.04,5,0.5,0,1,0,0,0,1.54
0,0,2,0,0,0,0,0,0,24,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,2,8,24,0,4,0,0,0,0,0,0,0,0,0.416666667,0.2,0.266666667,0,0,0.883333333
9,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0.018,0.009,0.02,0,0,0.424166667,0,0,0,0,0.453166667
0,0,6,6,6,0,5,0,0,18,0,0,0,0,0,0,0,0.24,0,0,0,0.5,0,0,0,0.74
7,0,0,4,5,0,4,0,0,0,0,3,7,0,0,0.014,0.007,0.18,0,0,0,0.4,0,0.242487113,0,0.829487113
15,0,6,2,5,0,0,4,0,0,0,2,0,0,0,0.03,0.015,0.14,0,0,0,0.4,0,0,0,0.555
0,5,5,5,0,0,0,0,0,0,0,1,6,0,0,0,0,0.1,0,0,0.416666667,0,0,0.12,0,0.636666667
14,0,5,0,0,0,0,1,10,23,0,0,0,0,0,0.028,0.014,0,0,0,0,0.1,0.342666667,0,0,0.456666667
13,0,2,5,5,0,0,3,0,0,0,0,5,0,0,0.026,0.013,0.2,0,0,0,0.3,0,0,0,0.513
0,0,0,1,6,0,1,3,0,20,15,0,0,0,0,0,0,0.14,0,0,0,0.4,0,0,0,0.54
17,5,0,0,0,5,0,1,0,0,0,2,12,0,0,0.034,0.017,0,0,0.5,0.430833333,0.1,0,0.339411255,0,1.387244588
0,0,4,3,7,0,0,0,14,20,23,0,0,0,0,0,0,0.2,0,0,0,0,0.466666667,0,0,0.666666667
0,0,1,0,0,2,4,0,0,0,19,0,12,0,0,0,0,0,1,0.2,0,0.5,0,0,0,0.7
0,3,0,0,0,2,0,5,0,0,26,1,8,0,0,0,0,0,0,0.2,0.25,0.5,0,0.16,0,1.11
15,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0.03,0.015,0.12,0,0,0.2575,0,0,0,0,0.3925
8,0,3,0,0,0,0,0,12,0,19,4,0,0,0,0.016,0.008,0,0,0,0,0,0.4064,0,0,0.4144
0,2,0,0,7,0,3,0,0,0,22,0,11,0,0,0,0,0.14,0,0,0.166666667,0.3,0,0,0,0.606666667
11,0,0,4,0,2,0,0,0,0,17,4,9,0,0,0.022,0.011,0.08,0,0.2,0,0,0,0.36,0,0.651
0,2,1,3,0,0,0,2,0,19,0,0,0,0,0,0,0,0.06,0,0,0.166666667,0.2,0,0,0,0.426666667
10,0,0,0,2,0,3,0,7,0,25,0,9,0,0,0.02,0.01,0.04,0,0,0,0.3,0.238,0,0,0.588
12,4,6,0,0,0,0,5,0,21,23,0,0,0,0,0.024,0.012,0,0,0,0.341333333,0.5,0,0,0,0.853333333
13,2,0,2,0,0,0,5,0,23,0,0,0,0,0,0.026,0.013,0.04,0,0,0.171,0.5,0,0,0,0.724
11,1,0,0,0,0,0,1,0,0,15,1,0,0,0,0.022,0.011,0,0,0,0.085166667,0.1,0,0,0,0.196166667
5,0,7,0,0,3,0,0,0,21,0,2,6,0,0,0.01,0.005,0,4,0.3,0,0.4,0,0.169705627,0,0.874705627
0,0,0,0,5,0,0,0,7,0,16,3,10,0,0,0,0,0.1,0,0,0,0,0.233333333,0.346410162,0,0.679743495
0,0,6,3,0,4,0,0,10,27,0,3,0,0,0,0,0,0.06,4,0.4,0,0.4,0.333333333,0,0,1.193333333
6,0,0,0,7,5,1,0,0,0,27,0,0,0,0,0.012,0.006,0.14,0,0.5,0,0.1,0,0,0,0.746
0,1,0,0,6,0,0,0,6,0,26,1,10,0,0,0,0,0.12,0,0,0.083333333,0,0.2,0.2,0,0.603333333
0,1,2,0,0,3,2,0,0,25,18,0,0,0,0,0,0,0,2,0.3,0.083333333,0.4,0,0,0,0.783333333
8,3,0,4,6,0,0,0,0,23,0,0,5,0,0,0.016,0.008,0.2,0,0,0.254,0,0,0,0,0.462
11,0,0,1,0,0,0,0,17,22,0,0,7,0,0,0.022,0.011,0.02,0,0,0,0,0.579133333,0,0,0.610133333
15,0,0,0,4,3,0,2,8,0,23,0,0,0,0,0.03,0.015,0.08,0,0.3,0,0.2,0.274666667,0,0,0.869666667
15,2,0,4,0,0,5,0,0,0,0,1,7,0,0,0.03,0.015,0.08,0,0,0.171666667,0.5,0,0.14,0,0.906666667
0,3,0,0,0,0,2,0,0,17,16,0,7,0,0,0,0,0,0,0,0.25,0.2,0,0,0,0.45
0,0,3,1,3,0,0,0,16,0,23,0,11,0,0,0,0,0.08,0,0,0,0,0.533333333,0,0,0.613333333
14,0,0,2,7,0,5,1,0,0,0,5,0,0,0,0.028,0.014,0.18,0,0,0,0.6,0,0,0,0.794
0,1,0,4,1,0,0,0,7,24,0,2,0,0,0,0,0,0.1,0,0,0.083333333,0,0.233333333,0,0,0.416666667
9,0,0,0,4,0,2,0,0,0,0,3,6,0,0,0.018,0.009,0.08,0,0,0,0.2,0,0.207846097,0,0.496846097
0,0,1,2,0,5,0,0,14,0,27,0,0,0,0,0,0,0.04,2,0.5,0,0.2,0.466666667,0,0,1.206666667
0,5,6,4,2,2,0,0,0,0,0,0,11,0,0,0,0,0.12,3,0.2,0.416666667,0.3,0,0,0,1.036666667
0,0,4,0,2,0,0,3,16,18,0,0,0,0,0,0,0,0.04,0,0,0,0.3,0.533333333,0,0,0.873333333
17,0,2,0,0,0,0,0,9,0,21,5,0,0,0,0.034,0.017,0,0,0,0,0,0.3102,0,0,0.3272
15,0,0,0,0,1,0,1,12,15,24,0,0,0,0,0.03,0.015,0,0,0.1,0,0.1,0.412,0,0,0.627
0,0,0,0,1,3,0,4,10,0,15,4,0,0,0,0,0,0.02,0,0.3,0,0.4,0.333333333,0,0,1.053333333
9,1,0,0,0,0,2,0,8,0,0,5,9,0,0,0.018,0.009,0,0,0,0.084833333,0.2,0.271466667,0.402492236,0,0.967792236
0,0,0,0,1,0,3,5,0,15,19,0,9,0,0,0,0,0.02,0,0,0,0.8,0,0,0,0.82
0,0,4,0,5,1,0,0,11,15,16,0,0,0,0,0,0,0.1,2,0.1,0,0.2,0.366666667,0,0,0.766666667
8,1,0,6,0,0,0,0,11,18,0,0,9,0,0,0.016,0.008,0.12,0,0,0.084666667,0,0.372533333,0,0,0.5852
17,0,0,0,6,4,0,4,0,24,0,0,0,0,0,0.034,0.017,0.12,0,0.4,0,0.4,0,0,0,0.937
0,0,1,0,0,0,0,4,16,24,21,0,10,0,0,0,0,0,0,0,0,0.4,0.533333333,0,0,0.933333333
13,0,0,0,3,0,0,0,0,17,0,5,10,0,0,0.026,0.013,0.06,0,0,0,0,0,0.447213595,0,0.520213595
0,0,3,0,0,0,0,0,7,26,24,0,11,0,0,0,0,0,0,0,0,0,0.233333333,0,0,0.233333333
0,0,0,7,4,0,0,5,6,21,0,1,0,0,0,0,0,0.22,0,0,0,0.5,0.2,0,0,0.92
8,0,0,0,0,2,1,0,0,0,0,3,10,0,0,0.016,0.008,0,0,0.2,0,0.1,0,0.346410162,0,0.654410162
6,5,3,0,0,3,0,2,0,16,0,0,0,0,0,0.012,0.006,0,3,0.3,0.421666667,0.5,0,0,0,1.227666667
0,2,2,0,0,0,2,1,0,0,0,5,12,0,0,0,0,0,0,0,0.166666667,0.3,0,0.536656315,0,1.003322981
0,0,6,6,0,0,0,5,10,25,0,0,0,0,0,0,0,0.12,0,0,0,0.5,0.333333333,0,0,0.953333333
7,0,0,0,1,0,0,0,11,0,20,0,0,0,0,0.014,0.007,0.02,0,0,0,0,0.3718,0,0,0.3988
16,5,0,0,4,0,0,2,0,0,0,3,0,0,0,0.032,0.016,0.08,0,0,0.43,0.2,0,0,0,0.726
6,2,0,0,0,0,0,0,0,15,27,2,0,0,0,0.012,0.006,0,0,0,0.168666667,0,0,0,0,0.174666667
6,4,1,0,0,3,0,0,15,0,0,0,0,0,0,0.012,0.006,0,1,0.3,0.337333333,0.1,0.506,0,0,1.249333333
0,0,5,0,4,0,2,3,0,24,0,0,0,0,0,0,0,0.08,0,0,0,0.5,0,0,0,0.58
0,3,6,4,0,0,0,3,0,0,19,4,0,0,0,0,0,0.08,0,0,0.25,0.3,0,0,0,0.63
0,0,0,7,6,1,0,0,0,21,17,5,0,0,0,0,0,0.26,0,0.1,0,0,0,0,0,0.36
0,0,0,0,2,5,4,0,0,0,23,1,0,0,0,0,0,0.04,0,0.5,0,0.4,0,0,0,0.94
0,0,0,0,0,2,0,4,13,27,16,5,0,0,0,0,0,0,0,0.2,0,0.4,0.433333333,0,0,1.033333333
0,4,0,0,2,0,0,4,0,0,16,4,9,0,0,0,0,0.04,0,0,0.333333333,0.4,0,0.36,0,1.133333333
0,0,2,0,0,0,0,3,0,15,0,5,5,0,0,0,0,0,0,0,0,0.3,0,0.223606798,0,0.523606798
0,0,3,0,0,2,2,5,0,26,19,0,0,0,0,0,0,0,2,0.2,0,0.9,0,0,0,1.1
9,0,6,0,0,0,3,0,0,0,0,4,0,0,0,0.018,0.009,0,0,0,0,0.3,0,0,0,0.309
7,1,0,0,3,0,1,0,0,24,0,0,5,0,0,0.014,0.007,0.06,0,0,0.0845,0.1,0,0,0,0.2515
13,4,0,0,2,0,0,4,0,23,0,0,0,0,0,0.026,0.013,0.04,0,0,0.342,0.4,0,0,0,0.795
9,1,0,0,0,0,2,2,0,0,26,1,0,0,0,0.018,0.009,0,0,0,0.084833333,0.4,0,0,0,0.493833333
0,2,2,3,0,3,0,0,5,0,0,0,7,0,0,0,0,0.06,2,0.3,0.166666667,0.2,0.166666667,0,0,0.893333333
6,3,0,2,0,3,4,0,0,0,22,0,0,0,0,0.012,0.006,0.04,0,0.3,0.253,0.4,0,0,0,0.999
14,0,0,0,0,5,3,2,0,0,0,0,11,0,0,0.028,0.014,0,0,0.5,0,0.5,0,0,0,1.014
9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0.009,0,0,0,0.169666667,0,0,0,0,0.178666667
15,0,0,0,0,3,0,0,0,19,25,0,5,0,0,0.03,0.015,0,0,0.3,0,0,0,0,0,0.315
12,1,1,0,0,0,0,0,0,0,17,3,0,0,0,0.024,0.012,0,0,0,0.085333333,0,0,0,0,0.097333333
0,0,0,3,1,0,0,0,0,0,21,0,9,0,0,0,0,0.08,0,0,0,0,0,0,0,0.08
6,1,3,0,0,0,0,5,0,0,0,4,9,0,0,0.012,0.006,0,0,0,0.084333333,0.5,0,0.36,0,0.950333333
0,0,2,0,0,0,0,0,9,22,20,4,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3
0,5,4,0,4,0,2,0,7,24,0,0,0,0,0,0,0,0.08,0,0,0.416666667,0.2,0.233333333,0,0,0.93
7,0,0,2,0,0,2,0,0,20,0,0,12,0,0,0.014,0.007,0.04,0,0,0,0.2,0,0,0,0.247
0,0,7,7,3,0,0,3,0,26,0,0,7,0,0,0,0,0.2,0,0,0,0.3,0,0,0,0.5
0,3,0,0,0,4,1,0,11,0,16,2,0,0,0,0,0,0,0,0.4,0.25,0.1,0.366666667,0,0,1.116666667
0,0,4,0,6,4,5,3,0,0,0,4,0,0,0,0,0,0.12,4,0.4,0,1.2,0,0,0,1.72
11,0,0,2,0,1,3,0,15,27,0,0,0,0,0,0.022,0.011,0.04,0,0.1,0,0.3,0.511,0,0,0.962
16,0,0,0,0,0,4,0,0,22,0,0,6,0,0,0.032,0.016,0,0,0,0,0.4,0,0,0,0.416
0,0,0,3,4,0,5,0,0,23,0,5,0,0,0,0,0,0.14,0,0,0,0.5,0,0,0,0.64
7,5,0,0,0,2,5,4,0,26,0,0,0,0,0,0.014,0.007,0,0,0.2,0.4225,0.9,0,0,0,1.5295
0,0,0,0,0,3,0,5,0,0,16,0,7,0,0,0,0,0,0,0.3,0,0.5,0,0,0,0.8
0,0,4,0,2,0,5,0,0,0,0,2,11,0,0,0,0,0.04,0,0,0,0.5,0,0.311126984,0,0.851126984
0,0,0,3,0,0,0,0,6,0,26,0,11,0,0,0,0,0.06,0,0,0,0,0.2,0,0,0.26
0,3,5,0,0,3,0,0,8,26,0,2,0,0,0,0,0,0,3,0.3,0.25,0.3,0.266666667,0,0,1.116666667
5,5,4,0,5,0,0,0,12,24,0,0,0,0,0,0.01,0.005,0.1,0,0,0.420833333,0,0.404,0,0,0.929833333
8,0,4,0,0,4,3,0,0,24,0,0,0,0,0,0.016,0.008,0,4,0.4,0,0.7,0,0,0,1.108
7,2,0,7,0,1,0,2,14,0,0,0,0,0,0,0.014,0.007,0.14,0,0.1,0.169,0.2,0.4732,0,0,1.0892
0,0,0,7,7,3,0,4,7,27,0,0,0,0,0,0,0,0.28,0,0.3,0,0.4,0.233333333,0,0,1.213333333
12,0,7,0,1,0,0,1,17,0,0,0,6,0,0,0.024,0.012,0.02,0,0,0,0.1,0.580266667,0,0,0.712266667
8,3,4,0,0,3,0,1,0,0,27,0,0,0,0,0.016,0.008,0,3,0.3,0.254,0.4,0,0,0,0.962
13,0,0,0,0,4,4,0,0,15,22,0,11,0,0,0.026,0.013,0,0,0.4,0,0.4,0,0,0,0.813
11,0,6,4,6,0,0,2,0,20,0,0,0,0,0,0.022,0.011,0.2,0,0,0,0.2,0,0,0,0.411
0,0,0,7,2,0,0,0,5,0,0,4,5,0,0,0,0,0.18,0,0,0,0,0.166666667,0.2,0,0.546666667
0,0,0,5,0,1,5,4,0,0,15,0,8,0,0,0,0,0.1,0,0.1,0,0.9,0,0,0,1.1
0,0,0,6,4,0,5,0,7,0,26,0,7,0,0,0,0,0.2,0,0,0,0.5,0.233333333,0,0,0.933333333
15,0,0,1,0,2,0,0,5,0,0,0,11,0,0,0.03,0.015,0.02,0,0.2,0,0,0.171666667,0,0,0.406666667
0,3,4,0,0,2,4,0,11,0,25,0,0,0,0,0,0,0,2,0.2,0.25,0.6,0.366666667,0,0,1.416666667
0,0,0,0,4,0,0,0,0,21,20,0,10,0,0,0,0,0.08,0,0,0,0,0,0,0,0.08
0,0,0,5,0,0,1,1,0,22,0,0,9,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0.3
14,0,0,1,0,3,0,5,17,0,0,2,0,0,0,0.028,0.014,0.02,0,0.3,0,0.5,0.582533333,0,0,1.416533333
11,3,6,0,0,3,0,0,0,0,21,0,10,0,0,0.022,0.011,0,4,0.3,0.2555,0.4,0,0,0,0.9665
16,0,4,0,0,2,3,0,0,0,0,3,0,0,0,0.032,0.016,0,2,0.2,0,0.5,0,0,0,0.716
12,5,0,2,0,0,1,0,8,0,25,0,0,0,0,0.024,0.012,0.04,0,0,0.426666667,0.1,0.273066667,0,0,0.851733333
0,4,0,2,0,0,0,4,15,20,0,0,12,0,0,0,0,0.04,0,0,0.333333333,0.4,0.5,0,0,1.273333333
0,3,0,0,0,0,0,0,0,24,24,4,11,0,0,0,0,0,0,0,0.25,0,0,0.44,0,0.69
15,4,2,0,0,0,0,3,10,0,0,0,0,0,0,0.03,0.015,0,0,0,0.343333333,0.3,0.343333333,0,0,1.001666667
15,0,0,6,4,3,0,0,8,0,26,0,0,0,0,0.03,0.015,0.2,0,0.3,0,0,0.274666667,0,0,0.789666667
16,5,7,3,0,0,0,0,6,0,20,0,0,0,0,0.032,0.016,0.06,0,0,0.43,0,0.2064,0,0,0.7124
0,2,0,0,2,2,0,0,0,19,0,1,5,0,0,0,0,0.04,0,0.2,0.166666667,0,0,0.1,0,0.506666667
9,0,0,7,0,1,2,0,0,25,0,4,0,0,0,0.018,0.009,0.14,0,0.1,0,0.2,0,0,0,0.449
15,0,0,0,7,0,2,3,0,20,27,0,0,0,0,0.03,0.015,0.14,0,0,0,0.5,0,0,0,0.655
0,1,0,2,0,1,0,0,0,21,0,1,7,0,0,0,0,0.04,0,0.1,0.083333333,0,0,0.14,0,0.363333333
13,5,2,0,0,1,1,0,0,18,0,0,0,0,0,0.026,0.013,0,1,0.1,0.4275,0.2,0,0,0,0.7405
0,1,0,0,7,3,0,0,12,0,0,0,9,0,0,0,0,0.14,0,0.3,0.083333333,0,0.4,0,0,0.923333333
0,3,0,2,3,0,5,2,11,0,0,0,0,0,0,0,0,0.1,0,0,0.25,0.7,0.366666667,0,0,1.416666667
0,0,0,0,5,2,0,1,0,20,18,2,0,0,0,0,0,0.1,0,0.2,0,0.1,0,0,0,0.4
0,0,0,0,3,0,0,4,16,0,22,0,0,0,0,0,0,0.06,0,0,0,0.4,0.533333333,0,0,0.993333333
15,2,0,0,6,1,0,0,0,17,0,1,0,0,0,0.03,0.015,0.12,0,0.1,0.171666667,0,0,0,0,0.406666667
10,0,7,0,0,5,0,1,0,0,0,5,0,0,0,0.02,0.01,0,5,0.5,0,0.6,0,0,0,1.11
0,0,0,0,4,0,3,2,0,0,16,3,11,0,0,0,0,0.08,0,0,0,0.5,0,0.381051178,0,0.961051178
0,0,4,7,0,0,0,0,0,17,0,0,11,0,0,0,0,0.14,0,0,0,0,0,0,0,0.14
0,1,4,1,0,0,0,3,12,0,16,0,0,0,0,0,0,0.02,0,0,0.083333333,0.3,0.4,0,0,0.803333333
13,4,0,0,3,0,2,0,14,23,0,0,0,0,0,0.026,0.013,0.06,0,0,0.342,0.2,0.4788,0,0,1.0938
0,0,6,7,3,0,0,0,0,0,27,3,7,0,0,0,0,0.2,0,0,0,0,0,0.242487113,0,0.442487113
9,5,0,0,3,0,0,4,5,0,0,0,0,0,0,0.018,0.009,0.06,0,0,0.424166667,0.4,0.169666667,0,0,1.062833333
12,0,0,1,0,2,0,1,0,0,18,5,0,0,0,0.024,0.012,0.02,0,0.2,0,0.1,0,0,0,0.332
11,3,6,5,6,3,0,0,0,0,0,0,0,0,0,0.022,0.011,0.22,4,0.3,0.2555,0.4,0,0,0,1.1865
15,0,4,0,0,0,1,3,10,0,0,0,8,0,0,0.03,0.015,0,0,0,0,0.4,0.343333333,0,0,0.758333333
0,4,0,0,4,5,0,4,5,21,0,0,0,0,0,0,0,0.08,0,0.5,0.333333333,0.4,0.166666667,0,0,1.48
0,0,7,0,0,0,0,0,10,20,26,3,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0.333333333
0,0,0,0,1,0,2,0,9,24,27,0,0,0,0,0,0,0.02,0,0,0,0.2,0.3,0,0,0.52
5,0,1,0,3,1,2,0,0,0,0,3,0,0,0,0.01,0.005,0.06,1,0.1,0,0.3,0,0,0,0.465
0,0,0,6,2,0,0,0,0,22,25,3,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0.16
17,5,3,0,0,0,0,3,0,19,0,0,0,0,0,0.034,0.017,0,0,0,0.430833333,0.3,0,0,0,0.747833333
0,5,0,0,0,0,2,0,13,20,17,0,10,0,0,0,0,0,0,0,0.416666667,0.2,0.433333333,0,0,1.05
17,0,0,2,0,0,0,5,8,0,27,0,6,0,0,0.034,0.017,0.04,0,0,0,0.5,0.275733333,0,0,0.832733333
0,4,3,4,0,0,3,3,9,0,0,0,0,0,0,0,0,0.08,0,0,0.333333333,0.6,0.3,0,0,1.313333333
17,2,0,7,0,0,0,4,0,0,0,5,0,0,0,0.034,0.017,0.14,0,0,0.172333333,0.4,0,0,0,0.729333333
0,0,0,3,0,5,5,0,0,0,0,1,6,0,0,0,0,0.06,0,0.5,0,0.5,0,0.12,0,1.18
0,0,0,0,4,3,0,0,0,24,22,1,12,0,0,0,0,0.08,0,0.3,0,0,0,0.24,0,0.62
0,0,0,0,6,0,2,3,8,0,18,2,0,0,0,0,0,0.12,0,0,0,0.5,0.266666667,0,0,0.886666667
0,2,0,4,0,0,0,0,0,17,20,0,0,0,0,0,0,0.08,0,0,0.166666667,0,0,0,0,0.246666667
0,3,3,0,0,0,0,0,0,0,26,0,12,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25
10,0,0,7,0,0,5,0,14,20,0,1,0,0,0,0.02,0.01,0.14,0,0,0,0.5,0.476,0,0,1.126
0,5,0,7,0,0,0,1,0,20,0,1,12,0,0,0,0,0.14,0,0,0.416666667,0.1,0,0.24,0,0.896666667
7,0,3,4,0,3,2,0,0,0,0,0,0,0,0,0.014,0.007,0.08,3,0.3,0,0.5,0,0,0,0.887
0,5,1,0,3,0,0,3,0,0,0,5,7,0,0,0,0,0.06,0,0,0.416666667,0.3,0,0.313049517,0,1.089716184
15,0,0,0,7,4,4,0,12,0,0,0,0,0,0,0.03,0.015,0.14,0,0.4,0,0.4,0.412,0,0,1.367
14,1,4,0,7,0,3,4,0,0,0,0,0,0,0,0.028,0.014,0.14,0,0,0.085666667,0.7,0,0,0,0.939666667
0,2,0,0,0,0,0,0,15,0,25,3,0,0,0,0,0,0,0,0,0.166666667,0,0.5,0,0,0.666666667
14,1,0,2,0,0,0,0,7,26,0,0,11,0,0,0.028,0.014,0.04,0,0,0.085666667,0,0.239866667,0,0,0.379533333
15,1,0,2,1,0,3,0,0,16,0,0,0,0,0,0.03,0.015,0.06,0,0,0.085833333,0.3,0,0,0,0.460833333
15,0,0,0,4,0,0,0,0,24,16,0,0,0,0,0.03,0.015,0.08,0,0,0,0,0,0,0,0.095
5,0,0,4,1,0,0,0,8,22,0,0,0,0,0,0.01,0.005,0.1,0,0,0,0,0.269333333,0,0,0.374333333
0,0,0,0,0,0,3,0,0,19,20,5,12,0,0,0,0,0,0,0,0,0.3,0,0.536656315,0,0.836656315
14,0,7,0,0,0,0,0,0,27,0,0,12,0,0,0.028,0.014,0,0,0,0,0,0,0,0,0.014
13,5,0,0,0,1,0,0,0,16,19,5,0,0,0,0.026,0.013,0,0,0.1,0.4275,0,0,0,0,0.5405
0,0,0,7,6,0,0,3,0,0,18,0,10,0,0,0,0,0.26,0,0,0,0.3,0,0,0,0.56
14,4,4,0,0,0,0,3,0,0,22,0,7,0,0,0.028,0.014,0,0,0,0.342666667,0.3,0,0,0,0.656666667
0,4,0,3,0,0,0,1,0,20,0,1,7,0,0,0,0,0.06,0,0,0.333333333,0.1,0,0.14,0,0.633333333
0,0,0,0,0,1,0,4,6,0,0,2,11,0,0,0,0,0,0,0.1,0,0.4,0.2,0.311126984,0,1.011126984
